trip_id,sample_step,simulated_time_sec,distance_from_route_m,deviation_duration_sec,heading_difference_deg,off_route_distance_m,returned_to_route,stop_duration_sec,current_speed_kmh,speed_limit_kmh,overspeed_duration_sec,location_context,scenario_type,label
TRIP_ANOM_0001,0,0.0,0.54,0.0,2.23,0.0,0,0.0,41.54,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,1,5.0,4.07,0.0,7.83,0.0,0,0.0,35.13,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,2,10.0,6.56,0.0,7.68,0.0,0,0.0,33.81,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,3,15.0,4.42,0.0,2.4,0.0,0,0.0,38.84,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,4,20.0,0.59,0.0,8.17,0.0,0,0.0,35.45,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,5,25.0,8.43,0.0,6.85,0.0,0,0.0,31.38,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,6,30.0,1.18,0.0,2.52,0.0,0,0.0,37.06,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,7,35.0,13.25,0.0,8.05,0.0,0,0.0,44.5,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,8,40.0,3.6,0.0,0.76,0.0,0,0.0,44.99,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,9,45.0,4.08,0.0,2.92,0.0,0,0.0,28.67,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,10,50.0,10.46,0.0,7.04,0.0,0,0.0,31.57,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,11,55.0,0.13,0.0,7.11,0.0,0,0.0,34.54,45.0,0.0,traffic_light,normal_smooth,normal
TRIP_ANOM_0001,12,60.0,2.74,0.0,3.99,0.0,0,0.0,29.25,45.0,0.0,traffic_light,normal_smooth,normal
