trip_id,latitude,longitude,distance_remaining_m,baseline_remaining_sec,current_speed_kmh,speed_limit_kmh,route_progress,hour_of_day,day_of_week,stops_remaining,road_type,traffic_level,weather,school_period,incident,actual_remaining_sec
1,27.7479433,85.3076862,2075.88,320.7,22.49,30.0,0.0,11,5,4,residential,medium,clear,exam,0,588.46
1,27.750841,85.3057985,1808.17,279.34,23.48,30.0,0.12896,11,5,4,residential,medium,clear,exam,1,704.58
1,27.7491218,85.3060957,1766.88,272.96,20.34,30.0,0.14885,11,5,4,residential,medium,clear,exam,0,545.76
1,27.7503808,85.3061126,1547.09,239.01,19.22,30.0,0.25473,11,5,3,residential,medium,clear,exam,0,394.59
1,27.7478654,85.3060619,1249.28,193.0,19.02,30.0,0.39819,11,5,3,residential,medium,clear,exam,0,420.25
1,27.7486137,85.3051371,1241.32,191.77,21.5,30.0,0.40203,11,5,3,residential,medium,clear,exam,0,415.76
1,27.7489381,85.3065452,1194.03,184.46,23.2,30.0,0.42481,11,5,3,residential,medium,clear,exam,0,310.05
1,27.7473118,85.3065446,1186.0,183.22,18.64,30.0,0.42867,11,5,3,residential,medium,clear,exam,0,341.5
1,27.7497915,85.3066559,1016.92,157.1,19.65,30.0,0.51013,11,5,2,residential,medium,clear,exam,0,277.29
1,27.7493164,85.3062507,996.14,153.89,21.76,30.0,0.52014,11,5,2,residential,medium,clear,exam,0,313.45
1,27.7488043,85.3049993,993.23,153.44,21.78,30.0,0.52154,11,5,2,residential,medium,clear,exam,0,275.68
1,27.7486948,85.3049529,945.68,146.1,21.1,30.0,0.54444,11,5,2,residential,medium,clear,exam,0,282.07
1,27.7474269,85.307694,932.93,144.13,23.47,30.0,0.55059,11,5,2,residential,medium,clear,exam,0,255.67
1,27.7490373,85.30709,913.59,141.14,23.38,30.0,0.5599,11,5,2,residential,medium,clear,exam,0,264.77
1,27.7496076,85.3050417,890.29,137.54,20.54,30.0,0.57113,11,5,2,residential,medium,clear,exam,0,274.77
1,27.7480665,85.3072023,698.07,107.84,21.34,30.0,0.66372,11,5,2,residential,medium,clear,exam,0,198.54
1,27.7497261,85.3080826,690.34,106.65,21.49,30.0,0.66745,11,5,2,residential,medium,clear,exam,0,181.56
1,27.7498477,85.3044407,636.9,98.39,21.45,30.0,0.69319,11,5,2,residential,medium,clear,exam,0,217.6
1,27.7476841,85.3070037,608.94,94.07,22.99,30.0,0.70666,11,5,2,residential,medium,clear,exam,0,189.8
1,27.7486659,85.3051076,603.3,93.2,20.76,30.0,0.70937,11,5,2,residential,medium,clear,exam,0,190.61
1,27.7482839,85.3050666,505.1,78.03,23.73,30.0,0.75668,11,5,1,residential,medium,clear,exam,0,146.02
1,27.7482285,85.3047371,430.78,66.55,20.73,30.0,0.79249,11,5,1,residential,medium,clear,exam,0,123.89
1,27.748455,85.306539,425.46,65.73,17.97,30.0,0.79504,11,5,1,residential,medium,clear,exam,0,111.06
1,27.7505194,85.3057656,399.24,61.68,18.54,30.0,0.80768,11,5,1,residential,medium,clear,exam,0,118.54
1,27.7482551,85.3073638,345.91,53.44,18.75,30.0,0.83337,11,5,1,residential,medium,clear,exam,0,114.99
1,27.7476637,85.307485,335.49,51.83,20.95,30.0,0.83839,11,5,1,residential,medium,clear,exam,0,107.9
1,27.7485582,85.3075681,300.82,46.47,18.05,30.0,0.85509,11,5,1,residential,medium,clear,exam,0,89.34
1,27.7473889,85.3080861,299.87,46.33,19.37,30.0,0.85554,11,5,1,residential,medium,clear,exam,0,87.55
1,27.7507528,85.305387,283.26,43.76,17.46,30.0,0.86355,11,5,1,residential,medium,clear,exam,0,90.63
1,27.7475087,85.3066035,265.3,40.99,18.87,30.0,0.8722,11,5,1,residential,medium,clear,exam,0,75.87
1,27.7496361,85.3072157,251.82,38.9,19.38,30.0,0.87869,11,5,1,residential,medium,clear,exam,0,93.59
1,27.7498369,85.3048366,112.86,17.44,21.15,30.0,0.94563,11,5,1,residential,medium,clear,exam,1,267.5
1,27.7483007,85.3076261,106.58,16.47,23.57,30.0,0.94866,11,5,1,residential,medium,clear,exam,0,51.89
1,27.7484554,85.3072673,73.91,11.42,22.96,30.0,0.96439,11,5,1,residential,medium,clear,exam,0,50.13
1,27.7494756,85.3044399,67.04,10.36,19.26,30.0,0.96771,11,5,1,residential,medium,clear,exam,0,54.32
1,27.7477817,85.3048495,34.75,5.37,17.73,30.0,0.98326,11,5,1,residential,medium,clear,exam,0,32.45
2,27.6995427,85.3502171,1815.15,278.97,15.37,20.0,0.0,8,3,3,residential,medium,clear,regular,0,523.26
2,27.6986314,85.3524465,1787.6,274.74,14.22,20.0,0.01518,8,3,3,residential,medium,clear,regular,0,453.15
2,27.6962181,85.3513518,1730.62,265.98,13.13,20.0,0.04657,8,3,3,residential,medium,clear,regular,0,475.68
2,27.699439,85.35122,1717.99,264.04,15.52,20.0,0.05353,8,3,3,residential,medium,clear,regular,0,476.0
2,27.69857,85.3499155,1693.83,260.32,15.65,20.0,0.06684,8,3,3,residential,medium,clear,regular,0,474.8
2,27.6983529,85.3526149,1618.69,248.78,11.97,20.0,0.10823,8,3,3,residential,medium,clear,regular,0,390.38
2,27.6978106,85.3521954,1530.03,235.15,12.13,20.0,0.15708,8,3,3,residential,medium,clear,regular,0,430.95
2,27.6990308,85.3500899,1516.85,233.13,13.27,20.0,0.16434,8,3,3,residential,medium,clear,regular,0,366.58
2,27.6976771,85.3520198,1491.58,229.24,12.36,20.0,0.17826,8,3,3,residential,medium,clear,regular,0,393.61
2,27.6970626,85.3500735,1404.39,215.84,15.39,20.0,0.22629,8,3,3,residential,medium,clear,regular,0,400.97
2,27.6983305,85.3504708,1367.29,210.14,15.22,20.0,0.24674,8,3,3,residential,medium,clear,regular,0,392.74
2,27.6983103,85.3517702,1327.98,204.1,13.25,20.0,0.26839,8,3,3,residential,medium,clear,regular,0,398.27
2,27.6993611,85.3528327,1308.96,201.17,13.86,20.0,0.27887,8,3,3,residential,medium,clear,regular,0,364.75
2,27.6974488,85.3520637,1267.77,194.84,14.41,20.0,0.30156,8,3,3,residential,medium,clear,regular,0,371.12
2,27.6967479,85.3532645,1254.19,192.76,13.28,20.0,0.30904,8,3,3,residential,medium,clear,regular,0,336.09
2,27.696256,85.3528871,1244.49,191.27,13.01,20.0,0.31439,8,3,3,residential,medium,clear,regular,0,351.9
2,27.697881,85.3511141,1169.73,179.78,14.6,20.0,0.35557,8,3,2,residential,medium,clear,regular,0,309.84
